PONDERADOR	A1_COD	D1	D2_COD	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	SEXO	E2	E3	E4	E5	PROV	CANT_COD	F1	F2	F3	F4	F5	F6	F7	G1	G2	G3	G4	G5_COD	G6	G7	G8	G9	G10_COD	G11_COD	edadgrupo	educagrupo
,399	3	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	1	57	1	5	1	1	1-03 DESAMPARADOS	2	1	1	1	1	1	1	1	4	1	99999	99999	99999	1	1	1	10	99999	3	3
,608	1	2	4	99999	99999	99999	99999	99999	99999	99999	99999	99999	9	1	18	1	5	3	1	1-11 CORONADO	2	1	1	1	1	1	1	1	4	1	99999	99999	99999	2	2	1	10	99999	1	3
,389	6	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	3	1	46	1	5	1	2	2-01 ALAJUELA	1	1	1	1	2	1	1	1	5	2	1	99999	99999	1	1	1	10	99999	2	3
1,643	9	2	4	99999	99999	99999	99999	99999	99999	99999	99999	99999	3	2	55	1	2	4	7	7-02 POCOCI	2	1	2	2	2	2	2	1	3	1	99999	99999	99999	1	1	1	10	99999	3	1
1,643	1	1	99999	2	1	1	1	2	1	2	2	2	2	2	53	1	1	4	6	6-07 GOLFITO	2	1	2	2	2	2	1	2	99999	99999	99999	99999	99999	1	2	2	10	99999	3	1
,389	2	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	9	1	44	1	5	1	2	2-01 ALAJUELA	2	1	1	1	1	2	1	1	9	9	9	9	9	2	2	1	10	99999	2	3
1,095	2	1	99999	2	1	2	1	2	1	1	2	2	2	2	52	1	4	1	7	7-03 SIQUIRRES	2	1	2	2	2	2	1	1	1	1	99999	99999	99999	2	1	1	10	99999	3	2
1,095	5	1	99999	1	1	1	99999	2	1	2	2	2	2	2	61	1	4	4	2	2-03 GRECIA	1	2	1	2	2	2	1	2	99999	99999	99999	99999	99999	2	2	1	10	99999	3	2
,881	88	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	1	37	1	4	1	6	6-11 GARABITO	1	1	1	2	2	2	1	1	4	1	99999	99999	99999	1	1	1	10	99999	2	2
,399	2	1	99999	1	2	1	2	1	1	1	1	2	2	1	52	1	5	1	4	4-09 SAN PABLO	1	1	1	1	2	2	1	2	99999	99999	99999	99999	99999	1	1	1	10	99999	3	3
,393	9	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	1	2	52	1	5	4	2	2-10 SAN CARLOS	1	1	1	1	2	2	1	2	99999	99999	99999	99999	99999	2	1	2	10	99999	3	3
1,821	5	1	99999	2	1	2	99999	1	1	1	1	2	2	2	30	1	2	4	1	1-06 ASERRI	2	1	2	2	2	2	1	1	1	1	99999	99999	99999	2	1	2	10	99999	2	1
,608	9	1	99999	2	1	2	1	2	2	99999	99999	99999	4	1	24	1	5	1	3	3-05 TURRIALBA	2	1	2	2	2	2	2	1	1	1	99999	99999	99999	2	2	1	10	99999	1	3
,399	3	1	99999	2	1	1	2	1	2	99999	99999	99999	4	1	61	1	5	1	5	5-02 NICOYA	1	1	1	1	2	2	1	1	6	9	2	1	99999	2	1	2	10	99999	3	3
,881	3	1	99999	2	1	1	2	2	1	1	2	2	2	1	45	1	4	1	3	3-06 ALVARADO	1	1	1	1	2	2	1	2	99999	99999	99999	99999	99999	1	1	1	10	99999	2	2
,881	3	2	2	99999	99999	99999	99999	99999	99999	99999	99999	99999	3	1	49	1	3	1	6	6-03 BUENOS AIRES	2	1	1	2	2	2	1	2	99999	99999	99999	99999	99999	1	1	2	10	99999	2	2
2,438	99	1	99999	1	2	1	2	1	1	2	1	2	9	2	28	1	4	4	2	NS/NR	9	9	9	9	9	9	9	9	99999	99999	99999	99999	99999	2	1	1	10	99999	1	2
2,124	1	1	99999	1	1	1	2	1	1	1	1	2	2	1	71	1	1	5	5	5-04 BAGACES	1	2	2	2	2	2	1	1	3	1	99999	99999	99999	1	1	2	10	99999	3	1
1,079	3	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	9	2	47	8	4	4	1	1-01 SAN JOSE	1	1	2	1	2	2	1	2	99999	99999	99999	99999	99999	1	1	1	10	99999	2	2
,424	3	2	3	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	2	34	1	5	1	4	4-05 SAN RAFAEL	1	1	1	1	1	1	1	1	3	2	2	99999	9	2	2	1	10	99999	2	3
1,643	6	1	99999	2	1	1	1	2	2	99999	99999	99999	9	2	75	1	1	5	4	4-09 SAN PABLO	1	2	2	2	2	2	2	2	99999	99999	99999	99999	99999	1	1	2	10	99999	3	1
1,079	9	2	4	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	2	36	1	3	4	7	7-06 GUACIMO	2	1	1	2	2	2	1	2	99999	99999	99999	99999	99999	2	1	2	10	99999	2	2
2,124	7	1	99999	2	1	1	1	1	1	1	1	1	2	1	54	1	1	1	1	1-12 ACOSTA	2	1	2	2	2	2	1	2	99999	99999	99999	99999	99999	1	1	1	10	99999	3	1
,399	6	1	99999	2	1	1	2	1	1	1	2	2	2	1	58	1	5	1	4	4-10 SARAPIQUI	1	1	1	1	2	2	1	1	3	1	99999	99999	99999	2	1	1	10	99999	3	3
2,503	4	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	3	1	42	1	2	1	2	2-01 ALAJUELA	1	1	1	1	2	1	1	1	9	1	99999	99999	99999	9	2	1	10	99999	2	1
2,124	88	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	1	81	1	1	5	2	2-10 SAN CARLOS	1	2	2	2	2	2	1	2	99999	99999	99999	99999	99999	2	1	2	10	99999	3	1
1,095	3	2	3	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	2	62	1	4	4	1	1-10 ALAJUELITA	1	1	2	1	2	2	1	1	6	2	2	7	99999	1	1	1	10	99999	3	2
,424	4	2	4	99999	99999	99999	99999	99999	99999	99999	99999	99999	9	2	30	1	5	1	1	1-20 LEON CORTES	1	1	1	1	1	2	1	1	4	1	99999	99999	99999	1	1	1	10	99999	2	3
,505	9	2	4	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	2	27	8	5	1	1	1-01 SAN JOSE	2	1	1	1	1	2	2	1	6	9	1	99999	99999	2	2	1	10	99999	1	3
,881	2	1	99999	1	2	1	2	1	1	1	1	2	1	1	32	1	4	1	5	5-06 CAÑAS	2	1	2	2	2	2	1	2	99999	99999	99999	99999	99999	2	1	2	10	99999	2	2
2,124	6	1	99999	1	1	1	1	1	1	1	1	2	2	1	55	2	2	1	4	4-08 FLORES	1	1	2	1	1	2	1	1	1	1	99999	99999	99999	2	1	1	10	99999	3	1
,393	3	1	99999	1	1	2	2	1	2	99999	99999	99999	2	2	65	1	5	5	4	4-03 SANTO DOMINGO	1	1	1	1	1	2	1	1	5	1	99999	99999	99999	2	1	1	10	99999	3	3
1,593	8	1	99999	1	1	1	2	2	2	99999	99999	99999	5	1	26	1	4	1	7	7-02 POCOCI	2	1	2	2	2	2	2	2	99999	99999	99999	99999	99999	2	2	1	10	99999	1	2
,424	7	1	99999	1	1	1	1	1	1	1	1	2	2	2	48	1	5	4	4	4-04 SANTA BARBARA	1	1	1	1	2	2	1	1	1	1	99999	99999	99999	2	1	1	10	99999	2	3
,399	99	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	5	1	61	1	5	1	1	1-01 SAN JOSE	1	1	1	1	1	2	1	1	3	2	2	7	99999	2	1	1	10	99999	3	3
,399	6	2	2	99999	99999	99999	99999	99999	99999	99999	99999	99999	3	1	66	1	5	5	1	1-18 CURRIDABAT	1	1	1	1	2	2	1	2	99999	99999	99999	99999	99999	2	1	1	10	99999	3	3
1,821	6	1	99999	2	1	1	1	2	1	1	1	2	2	2	47	1	2	1	2	2-14 LOS CHILES	2	1	2	1	2	2	1	2	99999	99999	99999	99999	99999	1	1	1	10	99999	2	1
